DATAFLOW,MEASURE: Measure,SECTOR: Sector of Ownership,WORK_TYPE: Type of work,BUILDING_TYPE: Type of building,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),71300: East Arnhem,M: Monthly,2023-05,0,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),71300: East Arnhem,M: Monthly,2023-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),20910: Bayside (Vic.),M: Monthly,2023-05,40,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),20910: Bayside (Vic.),M: Monthly,2023-06,32,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2022: Local Government Areas (2022),25250: Moreland,M: Monthly,2023-05,15,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2022: Local Government Areas (2022),25250: Moreland,M: Monthly,2023-06,16,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),10050: Albury,M: Monthly,2023-05,0,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),10050: Albury,M: Monthly,2023-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),29799: Migratory - Offshore - Shipping (Vic.),M: Monthly,2023-05,0,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,850: Dwellings excluding houses,LGA2022: Local Government Areas (2022),29799: Migratory - Offshore - Shipping (Vic.),M: Monthly,2023-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2022: Local Government Areas (2022),20910: Bayside (Vic.),M: Monthly,2023-05,60,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2022: Local Government Areas (2022),20910: Bayside (Vic.),M: Monthly,2023-06,39,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2022: Local Government Areas (2022),10050: Albury,M: Monthly,2023-05,34,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2022: Local Government Areas (2022),10050: Albury,M: Monthly,2023-06,37,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2022: Local Government Areas (2022),10050: Albury,M: Monthly,2023-05,34,NUM: Number,0: Units,,
ABS:BA_LGA2022(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2022: Local Government Areas (2022),10050: Albury,M: Monthly,2023-06,37,NUM: Number,0: Units,,
